WV P     
BT CB G  
GS VHNT  
ZBWJDMS  
RCNNFWC W
DFSMLTLZZ
CWBGSVFDN
VGCQTJPBM
123456789

2 8 4
2 7 3
2 9 2
4 1 9
1 7 8
1 9 6
6 6 1
6 1 6
2 7 1
9 4 1
6 2 7
5 9 7
7 3 7
19 7 9
1 7 1
3 6 8
4 5 6
1 4 1
2 5 2
8 9 7
1 5 1
3 9 4
1 4 9
2 4 7
1 7 6
3 8 9
17 1 7
21 7 3
4 6 2
1 7 2
8 9 2
2 8 3
1 1 7
2 7 9
1 6 1
1 7 4
1 1 2
4 6 1
1 9 2
1 7 9
1 4 1
7 3 7
6 2 8
3 3 4
1 8 4
12 2 8
2 9 2
12 3 2
12 8 6
3 4 2
19 2 8
4 1 9
1 3 8
1 4 6
1 2 4
1 6 3
8 9 6
1 4 9
1 3 1
1 9 5
11 6 3
5 8 6
14 6 9
2 1 4
3 8 1
8 8 4
3 3 4
8 3 1
9 8 2
12 4 2
12 9 3
9 3 4
1 5 3
7 7 1
2 9 1
2 4 6
16 2 6
1 2 8
10 1 4
1 8 2
4 1 6
15 4 8
1 4 2
2 6 8
5 2 8
21 8 3
6 1 3
15 6 1
1 2 1
1 8 9
15 1 3
7 3 8
1 7 9
2 9 8
2 3 7
4 6 1
2 7 8
1 6 2
4 8 3
2 4 8
1 2 1
4 1 5
3 5 8
1 5 1
12 8 3
3 1 2
17 3 5
2 5 3
15 5 1
1 1 4
17 3 2
5 2 8
17 3 6
6 1 3
5 1 6
4 8 9
10 3 8
7 2 9
2 6 3
2 2 8
1 1 4
17 6 9
13 8 2
2 4 1
1 6 7
2 2 4
8 2 7
1 6 1
4 7 9
1 4 7
1 4 6
1 1 7
5 2 4
2 3 8
6 7 1
1 7 4
11 9 7
1 8 4
8 1 2
1 1 4
1 1 9
1 6 1
1 8 4
6 2 3
1 1 3
1 6 7
1 4 6
6 2 5
7 3 4
2 7 6
2 7 3
8 7 5
3 6 7
1 5 7
1 7 5
13 9 3
1 3 8
8 4 3
3 5 1
7 4 1
5 1 4
3 1 4
2 1 8
2 7 5
2 8 9
1 7 6
1 8 7
4 5 1
1 7 2
2 1 8
1 2 1
5 9 7
3 9 4
8 4 8
6 8 5
11 5 1
3 4 2
9 3 7
6 7 2
13 3 2
3 8 1
2 2 8
1 6 7
3 8 4
9 1 5
5 5 8
2 8 4
3 9 4
2 8 2
8 1 5
8 7 9
1 8 3
15 5 9
6 4 1
1 7 2
4 2 1
1 3 4
5 1 7
3 7 3
14 9 8
1 4 8
1 7 6
